,Time[hr],Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
114,5482.541584,20.894262,24.373307,22.080310,22.451426,21.504908,21.670511,24.298422,22.080310,22.400973,19.862199,22.447801,20.679877,17.854478,18.911952,21.642545,20.039081,16.193578,18.435617
115,5482.698903,21.432976,24.269291,22.295967,23.279197,22.168506,22.303456,24.208410,22.295967,23.747870,20.383524,23.276241,21.199239,25.791288,19.122237,22.280666,20.464187,22.556224,18.647709
116,5487.301097,23.511987,26.240342,24.187846,25.130882,24.098605,24.390040,26.182007,24.187846,25.984248,22.193685,25.128050,23.197842,25.150929,21.267633,24.368183,22.533477,23.906515,20.698772
117,5487.458416,23.390736,26.201887,24.160498,25.132564,24.094508,24.227863,26.141791,24.160498,25.050548,22.179205,25.129646,23.188763,24.539612,21.247881,24.205354,22.459743,22.070706,20.714131
118,5487.907547,22.789576,26.221697,23.955063,24.320444,23.403408,23.566315,26.148112,23.955063,22.645757,21.762014,24.316878,22.604122,17.686187,20.891365,23.538806,21.933313,16.578567,20.327820
119,5724.257489,20.465047,23.384315,21.290261,21.910854,20.981836,21.259089,23.258979,21.290261,11.852462,19.321543,21.904779,20.174260,10.418410,18.443741,21.212221,19.611135,9.639171,18.010049
120,5725.742511,20.445176,23.289275,21.250835,21.868595,20.953902,21.229874,23.164683,21.250835,11.580402,19.336988,21.862555,20.158830,10.308981,18.455105,21.183266,19.601644,9.570153,18.020022
121,5819.213578,20.522413,23.489886,21.358812,21.989727,21.046248,21.328072,23.362611,21.358812,11.876034,19.355014,21.983557,20.226102,10.416019,18.468647,21.280473,19.656060,9.627506,18.031647
122,5819.610594,20.500675,23.391042,21.308106,21.922584,21.011188,21.285688,23.160426,21.308106,11.270060,19.455785,21.916576,20.218974,10.328704,18.521373,21.239328,19.656500,9.630385,18.073673
123,5819.751613,20.493556,23.377678,21.299599,21.912752,20.999957,21.273864,23.147563,21.299599,11.267551,19.451634,21.897594,20.214525,10.262134,18.531457,21.227604,19.654645,9.590769,18.081685
