,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
96,13.728514,14.449992,14.678516,13.626469,13.944559,13.520923,14.271333,14.678516,-1.492430,15.085699,13.620801,14.227848,-2.224982,14.834894,13.456516,14.039368,-2.136304,14.622220
97,13.608989,14.170731,14.508452,13.439989,13.789835,13.333095,13.993278,14.508452,-1.901573,15.023626,13.434501,14.100752,-2.459215,14.767003,13.313208,13.947024,-2.339492,14.580839
98,13.457384,13.849059,14.328790,13.183213,13.590140,13.137156,13.682606,14.328790,-2.539388,14.974975,13.177887,13.950861,-3.037650,14.723836,13.126375,13.835681,-2.787442,14.544986
99,13.358433,13.627367,14.191629,13.060320,13.483994,13.012658,13.460316,14.191629,-2.861963,14.922941,13.055146,13.859236,-3.146778,14.663327,13.007774,13.759186,-2.940626,14.510599
100,13.234298,13.386965,14.043875,12.859180,13.324035,12.863898,13.229221,14.043875,-3.373617,14.858530,12.854139,13.735195,-3.648597,14.616251,12.859285,13.662884,-3.327833,14.466482
101,13.249357,13.708529,14.092485,12.981161,13.372813,12.922459,13.558663,14.092485,-2.330367,14.626307,12.976519,13.719570,-3.243747,14.462622,12.912762,13.634036,-3.148676,14.355310
102,13.193586,13.736617,14.078247,12.941049,13.323362,12.906435,13.597264,14.078247,-2.258378,14.559230,12.935287,13.662928,-3.416523,14.390569,12.859508,13.575389,-3.361307,14.291271
103,13.534737,15.063469,14.556397,13.853503,13.917995,13.514467,14.923095,14.556397,1.719200,14.189699,13.848166,13.979095,-0.613841,14.110025,13.356411,13.738538,-1.791537,14.120665
104,13.871146,15.899537,14.940106,14.449440,14.339848,13.976709,15.678336,14.940106,3.740710,14.201875,14.439517,14.252636,0.946950,14.065756,13.820951,13.928512,-0.545025,14.036073
105,14.268734,16.706188,15.279258,15.229131,14.881624,14.519397,16.412283,15.279258,5.289561,14.146233,15.211015,14.593408,2.883319,13.975800,14.356608,14.168306,0.879096,13.980003
106,14.493748,17.112126,15.501426,15.524170,15.119059,14.783482,16.774562,15.501426,5.893061,14.228290,15.504335,14.781942,3.343793,14.059550,14.639345,14.327351,1.444148,14.015357
