,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHE0_P_cp,GHE1_P_cp,GHE2_P_cp
6210,0.0,15853.957070265917,1323.8131881696463,3257.4591073930255,-0.0,140.39035706718775,0.0,0.0,0.0,125.85058808609804,-0.0,5.42812297692192,0.0,693.858454358856,25.81557484362699,3385.3287639768223,-0.0,145.98440420665574,35.757754751640036,16.009826112965502,8.538573926914934,7.471252186050568
6211,0.0,15352.387201256708,1282.800511103559,3259.3409918669786,-0.0,140.4750083217246,0.0,0.0,0.0,124.62394443855946,-0.0,5.374007575297771,0.0,666.4617940706846,24.771449208766384,3224.197154766795,-0.0,138.99802128113183,32.61703977851097,15.058075934847905,8.030973831918885,7.027102102929022
6212,0.0,9545.304811117532,797.9137447262383,3257.4017448713735,-0.0,140.40036350727124,0.0,0.0,0.0,126.15721763829288,-0.0,5.440572011609181,0.0,642.6734812052446,23.896209016481386,2955.740592391116,-0.0,127.43537750527852,10.710559643197065,7.167173151049054,3.822492347226162,3.344680803822892
6213,0.0,8988.528472725357,752.9385852244742,3280.6702308563913,-0.0,141.54239074502885,0.0,0.0,0.0,146.0147570561671,-0.0,6.304947990022446,0.0,597.3376583874655,22.331645074093267,2434.679676733683,-0.0,105.09096985853853,8.86929799519319,6.3202261512601305,3.370787280672069,2.9494388705880614
6214,0.0,7792.512366427014,653.3218417890855,3283.9963054728823,-0.0,141.69951016090872,6.878296184704157,0.0,0.3266885534763115,107.24749425430564,-0.0,4.631689733679769,0.0,489.4906714599494,18.311549864593957,2125.455522624629,-0.0,91.75839373024435,6.0889874958693415,4.918543411063045,2.623223152566957,2.2953202584960875
6215,0.0,7090.554790315378,595.005278662553,3292.099598620066,-0.0,142.08365904515415,32.43866897227647,0.0,1.541282595498788,104.07324756676458,-0.0,4.496313411636836,0.0,376.1218399221463,14.090781256978298,1192.820685693044,-0.0,51.515825849466026,4.25204796983224,3.8714342774829853,2.064764947990925,1.8066693294920595
6216,10.07875973543221,6284.369964682316,528.4220641440786,3290.6272887498058,-0.0,142.01083366896674,91.15601616010474,0.0,4.331448487741846,96.08548595007343,-0.0,4.151538932439356,0.0,276.32384663377275,10.355183375053107,372.08412751027674,-0.0,16.07175379913207,2.817146199090709,2.942248688139729,1.5691993003411893,1.3730493877985401
6217,25.43508658501016,5663.619733915688,477.68366127456045,3292.9533520619784,-0.0,142.1100050282005,148.98819787183848,0.0,7.080619894505277,94.03063950701356,-0.0,4.0635682185032564,0.0,232.7852653519922,8.730155583520203,216.02316362272967,-0.0,9.333227541417711,2.1947342052145467,2.491118625418453,1.328596600223175,1.1625220251952781
6218,57.376493248637175,5113.199942524736,433.9151208472896,3294.775334729757,-0.0,142.22142816196546,203.15752942615913,0.0,9.658449517022184,95.94760984735301,-0.0,4.148098641067483,8.496358009199366,203.46766440424767,7.897882655010606,98.64283871326543,-0.0,4.2636673581868445,1.7599241181094887,2.1501516049281495,1.1467475226283463,1.0034040822998032
6219,105.30176600780106,4537.410382405482,389.06154893532744,3301.290409535429,-0.0,142.5434995037681,365.09161284745153,0.0,17.364007732510576,95.13809559230465,-0.0,4.1150216287294885,73.17963287512315,156.09989553247573,8.07795972829109,98.95404531963928,-0.0,4.2792022467846875,1.4932481217562332,1.9270564588552175,1.0277634447227828,0.8992930141324348
